업:NNG	8.90029525756836
손톱:NNG	7.475715637207031
여자:NNG	6.9799909591674805
소녀:NNG	6.4244303703308105
러브:NNG	6.265786647796631
키스:NNG|입맞춤:NNG|뽀뽀:NNG	6.164018630981445
아이:NNG	6.134418964385986
여름:NNG	6.125783443450928
아버지:NNG|아빠:NNG	5.915999412536621
머리카락:NNG	5.816531181335449
주스:NNP	5.4755425453186035
남자:NNG	5.264964580535889
마시:VV	5.25968599319458
먹:VV	5.224156856536865
읽:VV	5.114668369293213
여신:NNG	4.979739665985107
화내:VV	4.954707622528076
잠들:VV	4.943957805633545
순수:NNG	4.890134334564209
소문:NNG	4.842079162597656
비밀:NNG	4.779887676239014
진심:NNG	4.696369647979736
어머니:NNG|엄마:NNG|마마:NNG|어머님:NNG	4.648929595947266
미안:NNG	4.578749656677246
커튼:NNG	4.52050256729126
서툴:VA	4.518340587615967
시선:NNG	4.4857659339904785
얼굴:NNG|낯:NNG	4.4615631103515625
만세:NNG	4.441628456115723
허리:NNG	4.434165954589844
스텝:NNG	4.260451316833496
어깨:NNG	4.226310729980469
고백:NNG	4.216611862182617
방법:NNG	4.214195728302002
순정:NNG	4.211470603942871
보통:NNG	4.188654899597168
젖:VV	4.179346084594727
만족:NNG	4.17860746383667
하트:NNG	4.167186737060547
주말:NNG	4.036209583282471
부끄러움:NNG|부끄럼:NNG	3.9992403984069824
빙수:NNG	3.9948010444641113
팔:NNG	3.962656259536743
얘기:NNG	3.961061954498291
연애:NNG	3.9530975818634033
유혹:NNG	3.9395411014556885
법:NNG	3.87152099609375
몸짓:NNG|제스처:NNG	3.8489246368408203
가을:NNG	3.840946674346924
귀엽:VA|이쁘:VA|예쁘:VA	3.840555191040039
향기:NNG|향:NNG	3.828559160232544
반하:VV	3.8226089477539062
손가락:NNG	3.8014533519744873
입:VV	3.78690767288208
남:NNG	3.7732086181640625
장난:NNG	3.7471444606781006
입술:NNG	3.6746792793273926
그립:VA	3.630070447921753
맛:NNG	3.596067428588867
차갑:VA|차디차:VA	3.588381052017212
달:VV	3.585810422897339
교복:NNG	3.5270421504974365
편지:NNG	3.514305830001831
친구:NNG|벗:NNG	3.443371534347534
불타:VV	3.4405910968780518
마이크:NNG	3.396984338760376
어른:NNG	3.385411500930786
창문:NNG|창:NNG	3.380164384841919
봄:NNG	3.380113124847412
가볍:VA	3.3702199459075928
떠들:VV	3.3561816215515137
씹:VV	3.3383069038391113
놀이:NNG	3.327455520629883
연인:NNG|애인:NNG	3.312748432159424
좋아하:VV	3.2798027992248535
싫:VA	3.2651257514953613
씻:VV	3.255995512008667
빠져들:VV	3.235960006713867
짝사랑:NNG	3.228484869003296
입:NNG	3.2149059772491455
세우:VV	3.2140731811523438
피부:NNG|스킨:NNG	3.182250738143921
위험:NNG	3.1779398918151855
가게:NNG	3.1502907276153564
흔들:VV	3.136601448059082
올해:NNG	3.0975399017333984
최초:NNG	3.083993911743164
볼:NNG|뺨:NNG	3.07881236076355
느낌:NNG	3.064039707183838
이상:NNG	3.0093183517456055
지나가:VV|지나:VV	3.008796453475952
거리:NNG	2.98260235786438
옛날:NNG	2.9755163192749023
산:NNG	2.938016653060913
우습:VA	2.9373018741607666
싸움:NNG	2.9329025745391846
집:NNG	2.909949779510498
사실:NNG	2.884631633758545
성장:NNG	2.869764804840088
날리:VV	2.868738889694214
즐겁:VA	2.857027053833008
자연:NNG	2.8566911220550537
깨물:VV	2.854893922805786
나비:NNG	2.836793899536133
방:NNG|룸:NNG	2.8256990909576416
가까이:NNG	2.817765474319458
셔츠:NNG	2.805764675140381
오빠:NNG|형:NNG	2.797306537628174
버릇:NNG|습관:NNG	2.786891460418701
찌르:VV	2.756955623626709
타오르:VV	2.7421979904174805
돈:NNG	2.7051963806152344
질투:NNG	2.6984493732452393
반:NNG|절반:NNG|반쪽:NNG	2.684967041015625
들어가:VV|들어오:VV	2.6674742698669434
안심:NNG	2.6554067134857178
생활:NNG	2.6548566818237305
밤새:NNG	2.6405134201049805
옷:NNG	2.6404497623443604
상대:NNG	2.63877534866333
부럽:VA	2.629518508911133
결혼:NNG	2.6263248920440674
하나님:NNG	2.609935760498047
경험:NNG	2.557852268218994
착하:VA	2.555499792098999
자:VV	2.5513992309570312
주저:NNG	2.5352401733398438
밖:NNG	2.525383472442627
맡기:VV	2.515587329864502
슬프:VA|슬퍼지:VV	2.4859018325805664
산소:NNG	2.464113712310791
기분:NNG	2.4542267322540283
불빛:NNG	2.429112434387207
분하:VV	2.4160501956939697
듣:VV|묻:VV	2.402430295944214
안녕:NNG|굿바이:NNP	2.3993396759033203
겁쟁이:NNG	2.3748433589935303
함정:NNG	2.3688666820526123
벗:VV	2.3371307849884033
무리:NNG	2.330559492111206
공기:NNG	2.3230783939361572
붉:VA	2.3210432529449463
초콜렛:NNG|초콜릿:NNG	2.3207621574401855
많:VA	2.292755365371704
코트:NNG	2.284675121307373
시들:VV	2.2825629711151123
쓰:VV	2.2825491428375244
눈치채:VV	2.280900478363037
관심:NNG	2.276451349258423
농담:NNG	2.2710955142974854
녹:VV	2.2700910568237305
어린애:NNG|어린아이:NNG	2.2687270641326904
준비:NNG	2.259310007095337
뉴스:NNG	2.2549843788146973
실연:NNG	2.2549288272857666
요즘:NNG	2.250621795654297
질리:VV	2.240680456161499
베개:NNG	2.2335331439971924
글래스:NNP	2.2270164489746094
혀:NNG	2.2254226207733154
음악:NNG|뮤직:NNG	2.2113513946533203
장미:NNG	2.2098450660705566
숨결:NNG	2.209075689315796
늦:VA	2.201540231704712
